DEPT[M],CALIPER[,DEN(CDL),RES(16N),RES(64N),RES[OHM],SANG[DEG,SP[MM],GAM(NAT)
4.28,12.6784,1.8478,11.4895,80.4869,409.984,0.33589,-100.812,104.617
4.3,12.6784,1.59755,12.3598,62.4826,409.943,0.335861,-100.812,101.431
4.32,12.6821,1.59734,12.3606,62.4667,391.058,0.439209,-100.812,103.551
4.34,12.6821,1.42208,12.3606,46.3186,391.041,0.4393,-102.416,105.675
4.36,12.6789,1.45897,12.9103,46.3043,358.342,0.4393,-102.418,105.677
4.38,12.6789,1.22481,12.9108,55.8635,358.313,0.4393,-102.418,105.677
4.4,12.6803,1.2224,14.056,55.8717,358.313,0.4393,-102.418,104.615
4.42,12.6803,1.09581,14.057,55.8717,301.89,0.4393,-102.418,105.145
4.44,12.6812,1.16341,15.7977,61.6258,301.842,0.4393,-102.418,105.676
4.46,12.6812,1.26059,15.7992,61.6307,298.345,0.4393,-102.418,104.615
4.48,12.6807,1.37296,15.7992,70.6331,298.342,0.4393,-102.418,103.553
4.5,12.6807,1.37306,18.2729,70.6408,319.617,0.4393,-102.418,100.9
4.52,12.6803,1.4775,18.275,70.6408,319.635,0.4393,-102.418,98.2444
4.54,12.6803,1.47759,21.115,86.3249,319.635,0.4393,-102.418,97.1809
4.56,12.6817,1.34599,21.1175,86.3388,343.008,0.770599,-102.418,97.18
4.58,12.6817,1.34587,20.9801,114.273,343.029,0.770892,-102.418,97.18
4.6,12.6747,1.15878,20.98,114.298,380.857,0.733549,-102.418,95.5883
4.62,12.6747,1.15861,20.98,132.627,380.89,0.733516,-160.535,93.9951
4.64,12.6817,0.958453,16.4909,132.643,412.307,0.733516,-160.586,94.5243
4.66,12.6817,0.958277,16.4869,132.643,412.335,0.733516,-160.586,95.0554
4.68,12.6817,0.834818,15.1585,137.33,412.335,0.733516,-160.586,95.5864
4.7,12.6817,0.836103,15.1573,137.334,428.014,0.733516,-160.586,96.648
4.72,12.6798,0.880454,16.6232,96.4531,428.028,0.733516,-160.586,97.7101
4.74,12.6798,0.934112,16.6245,96.4171,451.75,0.733516,-160.586,95.5887
4.76,12.6826,1.02718,16.6245,97.0203,451.771,0.733516,-160.586,93.4646
4.78,12.6826,1.07012,18.3193,97.0208,451.48,0.733516,-160.586,91.871
4.8,12.6798,1.27099,18.3208,97.0208,451.48,0.733516,-160.586,90.2779
4.82,12.6798,1.30629,20.7486,81.5687,451.48,0.733516,-160.586,89.7459
4.84,12.6798,1.55424,20.7508,81.5551,472.987,0.458204,-160.586,93.99
4.86,12.6807,1.49279,23.7741,100.905,473.006,0.457961,-160.586,98.2383
4.88,12.6807,1.67308,23.7767,100.922,469.334,0.558893,-156.225,97.7115
4.9,12.6812,1.6519,23.7767,131.966,469.331,0.55898,-156.221,97.1804
4.92,12.6812,1.72938,18.4171,131.993,479.182,0.55898,-156.221,97.7105
4.94,12.6784,1.71392,18.4125,182.898,479.19,0.55898,-156.221,98.2416
4.96,12.6784,1.70805,13.5568,182.942,479.19,0.55898,-156.221,97.7115
4.98,12.6728,1.60903,13.5526,182.942,498.542,0.55898,-156.221,97.1804
5,12.6728,1.59371,16.5302,250.181,498.558,0.55898,-156.221,96.6494
5.02,12.6793,1.54834,16.5328,250.238,441.845,0.55898,-156.221,97.1795
5.04,12.6793,1.5483,16.5328,325.782,441.795,0.55898,-156.221,97.7105
5.06,12.6812,1.48554,18.6399,325.849,343.815,0.55898,-156.221,97.711
5.08,12.6812,1.48548,18.6418,371.045,343.729,0.55898,-156.221,97.711
5.1,12.6812,1.36743,22.2606,371.085,343.729,0.55898,-156.221,98.2416
5.12,12.6812,1.36733,22.2637,371.085,290.979,0.612223,-156.221,97.7115
5.14,12.6831,1.39755,22.2637,525.699,290.933,0.61227,-156.221,96.6499
