DEPT[M],CALP[CM],DENS[G/C,NGAMMA[A,RES[OHM-,SPR[OHM],SP[MV]
4.52,12.52,3.53,52.2001,15.3498,20.4,-162.297
4.54,12.525,3.53,52.0008,15.4,20.4,-163.797
4.56,12.53,3.53,52.8458,15.3004,20.4,-165.346
4.58,12.53,3.53,55.2444,15.2,20.4,-166.897
4.6,12.53,3.53,56.5998,15.2,20.4,-168.247
4.62,12.53,3.52502,57.2474,15.1502,20.4498,-169.846
4.64,12.53,3.51999,57.6509,15.1498,20.5,-171.547
4.66,12.53,3.50007,59.392,15.1502,20.5,-173.146
4.68,12.53,3.47003,62.2463,15.1498,20.5,-174.797
4.7,12.53,3.45003,61.8051,15.2996,20.5,-176.297
4.72,12.525,3.44001,61.1974,15.4996,20.5,-177.797
4.74,12.52,3.45495,62.3481,15.7992,20.5,-179.197
4.76,12.52,3.47997,63.6465,16,20.5,-180.298
4.78,12.52,3.49997,63.8525,16.0996,20.5,-181.298
4.8,12.52,3.51,63.0009,16.2996,20.5,-182.049
4.82,12.52,3.50502,63.1486,16.3004,20.5,-182.599
4.84,12.52,3.49502,62.8027,16.2498,20.5,-182.95
4.86,12.52,3.48502,62.2993,16.4494,20.5,-182.9
4.88,12.52,3.47502,62.3008,16.4506,20.5,-182.7
4.9,12.52,3.47997,63.1957,16.3,20.5,-182.251
4.92,12.52,3.49499,63.5528,16.2502,20.5,-181.601
4.94,12.52,3.51495,62.2025,15.8514,20.5498,-180.902
4.96,12.52,3.53498,63.144,15.3008,20.6,-180.102
4.98,12.52,3.54,63.1558,14.9008,20.6,-179.351
5,12.52,3.54,60.3054,14.5008,20.6,-178.552
5.02,12.52,3.53502,56.8588,14.2502,20.6,-177.751
5.04,12.52,3.53498,55.3976,14.3992,20.6,-177.101
5.06,12.52,3.54499,55.2533,14.849,20.6,-176.601
5.08,12.52,3.55996,53.1054,15.2494,20.6,-176.3
5.1,12.52,3.56502,50.5054,15.4498,20.6,-176.051
5.12,12.52,3.56498,48.9014,15.5,20.6,-175.751
5.14,12.52,3.56502,50.343,15.3008,20.5502,-175.451
5.16,12.52,3.56,49.4603,14.9506,20.4502,-175.2
5.18,12.52,3.56,48.0952,14.551,20.4,-174.951
5.2,12.52,3.56997,48.7524,13.9514,20.4,-174.601
5.22,12.52,3.58997,48.7475,13.5005,20.4,-174.101
5.24,12.52,3.60997,50.4457,13.3004,20.4498,-173.7
5.26,12.52,3.62498,49.3086,13.0506,20.5996,-173.55
5.28,12.515,3.63498,47.2,12.8004,20.7,-173.151
5.3,12.51,3.63502,45.7064,12.6004,20.7498,-172.352
5.32,12.51,3.63498,43.4529,12.3008,20.8,-171.502
5.34,12.51,3.62505,43.3479,12.0004,20.7502,-170.602
5.36,12.51,3.60501,42.8043,11.8004,20.7,-169.602
5.38,12.51,3.59003,41.1524,11.6004,20.7,-168.303
5.4,12.51,3.58,40.6499,11.4502,20.7,-166.604
5.42,12.51,3.58498,41.945,11.4,20.8992,-164.953
5.44,12.51,3.59498,42.8512,11.3502,21.3988,-163.104
5.46,12.51,3.59502,42.7989,11.2004,22.0984,-161.154
5.48,12.51,3.59996,42.3031,11.1,22.998,-159.254
5.5,12.505,3.60502,44.2392,11.0004,23.8983,-157.204
5.52,12.5,3.61495,48.5932,10.7008,24.6485,-155.503
5.54,12.5,3.62502,47.9587,10.3008,25.1991,-154.053
5.56,12.5,3.62498,46.8458,9.90084,25.4498,-152.802
5.58,12.495,3.62003,45.8584,9.45103,25.5,-151.702
5.6,12.485,3.59505,47.6843,8.90124,25.4004,-150.652
5.62,12.475,3.57003,49.9563,8.25145,25.2004,-150.001
5.64,12.47,3.54506,46.0091,7.70086,25.0502,-149.551
5.66,12.47,3.53997,45.145,7.35063,24.9502,-149.101
5.68,12.47,3.55499,45.3544,7.05063,24.8502,-148.502
5.7,12.47,3.57993,48.732,6.94982,24.6506,-147.702
5.72,12.47,3.59502,49.2655,6.99999,24.251,-146.802
5.74,12.47,3.58501,44.3043,6.9502,23.7012,-145.802
5.76,12.47,3.56007,45.7905,6.94981,23.0017,-144.802
5.78,12.47,3.53003,48.9466,6.90039,22.1519,-143.603
5.8,12.47,3.51502,52.1899,6.70042,21.2519,-142.303
5.82,12.47,3.51997,51.2136,6.55022,20.4515,-141.003
5.84,12.47,3.54994,48.1986,6.35061,19.8013,-139.703
5.86,12.47,3.5999,51.0903,6.20003,19.3009,-138.602
5.88,12.47,3.64495,54.645,6.1502,19.0004,-137.602
5.9,12.475,3.67495,56.8457,6.0004,18.8502,-136.801
5.92,12.48,3.68502,57.103,5.90002,18.8,-136.301
5.94,12.48,3.67502,59.2385,5.8004,18.8,-136.15
5.96,12.48,3.67,64.2414,5.55061,18.8,-136.3
5.98,12.48,3.67997,68.4411,5.35022,18.8,-136.749
6,12.485,3.69,70.3506,5.1506,18.8,-137.449
6.02,12.49,3.69498,71.8929,4.95022,18.8,-138.298
6.04,12.49,3.69502,78.8291,4.80041,18.7502,-139.348
6.06,12.485,3.68502,84.7461,4.65022,18.7,-140.398
6.08,12.48,3.67502,86.7947,4.60001,18.7,-141.796
6.1,12.48,3.66502,87.0042,4.5004,18.7,-143.347
6.12,12.48,3.65502,87.8424,4.30042,18.7,-144.747
6.14,12.48,3.65,92.6881,4.20002,18.7,-146.247
6.16,12.48,3.64502,93.8565,3.951,18.6502,-147.647
6.18,12.48,3.64,90.8055,3.65024,18.6,-149.146
6.2,12.48,3.64,89.1018,3.60001,18.5502,-150.548
6.22,12.48,3.63502,87.6045,3.4506,18.5,-151.648
6.24,12.48,3.63,87.6954,3.39962,18.5,-152.847
6.26,12.48,3.62502,85.7624,3.54978,18.4502,-153.998
6.28,12.48,3.61502,81.5049,3.59999,18.4,-155.098
6.3,12.48,3.60502,79.7528,3.6996,18.4,-156.248
6.32,12.48,3.6,79.4985,3.84978,18.3502,-157.298
6.34,12.48,3.60498,81.7923,3.85019,18.3,-158.447
6.36,12.48,3.60502,81.8073,3.75021,18.3,-159.598
6.38,12.48,3.60996,79.0537,3.55061,18.2502,-160.698
6.4,12.48,3.61502,76.6563,3.30043,18.2,-161.997
6.42,12.48,3.61,78.8354,3.15021,18.2,-163.248
6.44,12.48,3.61498,82.699,3.05021,18.2,-164.447
6.46,12.48,3.62498,82.8,3.09961,18.2,-165.648
6.48,12.48,3.63498,79.5629,3.19998,18.2,-166.698
6.5,12.475,3.64,77.5954,3.2498,18.2498,-167.847
6.52,12.47,3.64,79.2982,3.34979,18.3,-168.948
6.54,12.47,3.64,77.3095,3.30039,18.3,-169.848
6.56,12.47,3.64,75.2988,3.15022,18.2502,-170.649
6.58,12.47,3.64,73.2597,3.05021,18.2,-171.299
6.6,12.47,3.64,74.0374,3.00001,18.2,-172.098
6.62,12.47,3.64,72.9171,3.0498,18.2,-172.849
6.64,12.47,3.64,68.1023,3.09999,18.2,-173.399
6.66,12.47,3.63502,69.5427,3.1498,18.2498,-174.148
6.68,12.47,3.62502,70.9017,3.15019,18.3,-174.998
6.7,12.47,3.62,73.9857,3.10001,18.3,-175.948
6.72,12.47,3.62,74.1134,3.0502,18.3,-176.948
6.74,12.47,3.61502,74.0866,2.85061,18.3,-177.848
6.76,12.47,3.61,79.6412,2.65023,18.3,-178.997
6.78,12.47,3.60502,80.9527,2.50041,18.2502,-180.248
6.8,12.47,3.6,83.0885,2.44982,18.2,-181.398
6.82,12.47,3.59502,82.5633,2.54979,18.2,-182.498
6.84,12.47,3.58502,82.487,2.55019,18.2,-183.448
6.86,12.47,3.57999,85.8496,2.54981,18.2,-184.448
6.88,12.47,3.56505,84.4056,2.59999,18.2,-185.249
6.9,12.47,3.54003,82.9006,2.5502,18.2,-185.749
6.92,12.47,3.51006,79.1147,2.50001,18.2,-186.1
6.94,12.475,3.47006,79.5342,2.4004,18.2,-186.25
6.96,12.475,3.42009,79.9641,2.25021,18.1502,-186.3
6.98,12.47,3.3551,75.0054,2.24981,18.1,-186.101
7,12.47,3.28012,73.1528,2.29999,18.1,-185.701
7.02,12.47,3.20511,71.2053,2.2502,18.1,-185.251
7.04,12.47,3.14009,72.5895,2.24981,18.1,-184.851
7.06,12.47,3.0801,68.6264,2.34979,18.1,-184.451
7.08,12.47,3.03505,63.3453,2.39999,18.1,-183.851
7.1,12.47,3.00505,64.6006,2.4,18.0502,-183.201
7.12,12.465,2.99499,64.2506,2.4,18,-182.551
7.14,12.46,3.01995,64.847,2.3502,17.9502,-181.851
7.16,12.46,3.07988,61.9645,2.30001,17.8502,-181.102
7.18,12.46,3.17484,61.2886,2.3,17.8,-180.202
7.2,12.46,3.29979,65.8931,2.2502,17.7502,-179.302
7.22,12.46,3.44477,68.6451,2.20001,17.7,-178.302
7.24,12.46,3.59975,68.8536,2.2,17.6502,-177.003
7.26,12.46,3.74978,66.7548,2.2,17.6,-175.653
7.28,12.46,3.8798,64.405,2.1502,17.5502,-174.203
7.3,12.46,3.95994,63.0508,2.10001,17.5,-172.852
7.32,12.46,3.99993,62.2028,2.0502,17.4502,-171.553
7.34,12.46,4.01003,57.0181,2.04981,17.4,-170.003
7.36,12.46,3.99999,51.7538,2.09999,17.4,-168.553
7.38,12.46,3.98006,48.2611,2.0502,17.3502,-167.103
7.4,12.46,3.94504,44.9527,2.04981,17.3,-165.653
7.42,12.46,3.90009,42.8065,2.09999,17.3,-164.403
7.44,12.46,3.84009,38.0627,2.0502,17.3,-163.053
7.46,12.46,3.78507,36.793,2.00001,17.3,-161.852
7.48,12.46,3.7301,38.1021,1.9502,17.3,-160.902
7.5,12.46,3.68504,37.7989,1.90001,17.3,-160.051
7.52,12.465,3.64009,38.2493,1.9,17.3,-159.302
7.54,12.47,3.59006,38.4,1.8502,17.3,-158.402
7.56,12.47,3.54508,40.4916,1.80001,17.3,-157.601
7.58,12.475,3.50505,43.3964,1.8498,17.2502,-157.001
7.6,12.48,3.48003,44.0007,1.85019,17.2,-156.302
7.62,12.48,3.46004,43.9494,1.84981,17.2,-155.551
7.64,12.485,3.45498,44.2992,1.85019,17.2,-154.752
7.66,12.49,3.46499,45.745,1.75021,17.1502,-153.902
7.68,12.49,3.48994,48.6432,1.70001,17.1,-153.102
7.7,12.49,3.52993,50.1005,1.7,17.1,-152.202
7.72,12.49,3.55499,51.3442,1.6502,17.1,-151.252
7.74,12.49,3.56996,54.9411,1.64981,17.0502,-150.252
7.76,12.49,3.56505,57.6972,1.65019,17,-149.152
7.78,12.49,3.54501,59.0469,1.60001,17,-148.202
7.8,12.49,3.53003,59.7003,1.6498,17,-147.103
7.82,12.49,3.51003,59.9486,1.65019,17,-145.803
7.84,12.49,3.5,61.6943,1.60001,17,-144.503
7.86,12.49,3.49004,63.7472,1.5502,17,-142.804
7.88,12.49,3.48996,67.0891,1.50001,17,-140.954
7.9,12.49,3.49502,70.5963,1.5,17,-138.955
7.92,12.49,3.49498,70.9019,1.5,17,-136.705
7.94,12.49,3.50499,72.193,1.5,16.9502,-134.604
7.96,12.49,3.51997,78.3325,1.4502,16.9,-132.156
7.98,12.49,3.53997,84.9902,1.35021,16.9,-129.654
8,12.49,3.55997,88.6442,1.30001,16.9,-127.405
8.02,12.49,3.57,91.4439,1.2004,16.8502,-125.005
8.04,12.49,3.57498,96.087,1.05021,16.8,-122.854
8.06,12.49,3.57502,103.034,1.04981,16.8,-120.605
8.08,12.49,3.57,105.455,1.09999,16.8,-118.503
8.1,12.49,3.56003,104.797,1.1,16.8,-116.804
8.12,12.49,3.54501,105.948,1.1498,16.8,-115.004
8.14,12.49,3.53003,107.197,1.19999,16.8,-113.453
8.16,12.49,3.51501,106.954,1.1502,16.8,-112.003
8.18,12.49,3.50003,105.203,1.10001,16.8,-110.652
8.2,12.49,3.47505,103.703,1.0502,16.8498,-109.602
8.22,12.49,3.46,103.747,1.00001,16.9,-108.652
8.24,12.49,3.46,103.554,1,16.9,-107.951
8.26,12.49,3.46997,101.803,1.0498,16.9,-107.451
8.28,12.49,3.48997,101.997,1.05019,16.9,-107.15
8.3,12.49,3.50498,100.31,1.04981,16.9498,-107.1
8.32,12.49,3.51,101.137,1.05019,17,-107.2
8.34,12.49,3.50502,102.159,1.00001,17,-107.35
8.36,12.49,3.5,102.091,1.0498,17.0498,-107.4
8.38,12.49,3.49502,104.798,1.05019,17.1,-107.5
8.4,12.49,3.48501,103.108,1.09961,17.1,-107.6
8.42,12.49,3.47003,103.939,1.19999,17.1498,-107.55
8.44,12.49,3.46,104.359,1.2,17.2,-107.251
8.46,12.49,3.46,104.291,1.2,17.2498,-106.801
