DEPT[M],WELL,CALIPER[MM],DEN[GM/CC],GAM[API],RES(64N),RES[OHM],SP[MV],LITHOLOGY DESCRIPTION,Formation,Classified
136.69,3,10.01,2.68502,89.7083,94.2005,119.444,-124.35,SANDSTONE,Raniganj,Sandstone (SST)
137,3,10.02,2.61502,81.2003,95.6493,118.654,-124.4,SANDSTONE,Raniganj,Sandstone (SST)
137.6,3,9.88,2.58,72.722,88.7525,116.342,-124.75,SANDY SHALE,Raniganj,ss
137.95,3,9.88,2.68,87.4922,88.2511,111.153,-125.45,SHALE,Raniganj,Grey Shale
140,3,9.92,2.68996,137.595,50.4996,82.1004,-123.551,SANDY SHALE,Raniganj,ss
143,3,9.88,2.60498,109.715,63.4991,90.0502,-124.4,SANDSTONE,Raniganj,Sandstone (SST)
143.49,3,9.87,2.58498,103.589,66.8996,91.5991,-125.9,SANDSTONE,Raniganj,Sandstone (SST)
144.19,3,9.87,2.62498,91.3967,66.8011,102.85,-125.8,SANDY SHALE,Raniganj,ss
144.45,3,9.88,2.59,169.643,61.9005,91.9548,-126.25,SHALE,Raniganj,dgs
145.18,3,9.91,2.44019,208.419,47.4534,78.3023,-125.3,SANDY SHALE,Raniganj,ss
146,3,9.87,2.66004,190.332,45.6,72.352,-123.95,SANDSTONE,Raniganj,Sandstone (SST)
146.5,3,9.87,2.66506,169.861,46.5497,75.1489,-125.35,SANDY SHALE,Raniganj,ss
147.2,3,9.87,2.63498,191.005,50.1492,75.9995,-124.899,SHALE,Raniganj,dgs
149,3,9.95,2.58502,167.857,71.4479,100.199,-124.849,SANDSTONE,Raniganj,Sandstone (SST)
150.95,3,9.87,2.53498,98.364,63.8005,85.9005,-125.5,SANDSTONE,Raniganj,Sandstone (SST)
152,3,9.85,2.50502,99.8972,64.6507,88.2973,-126.15,SANDSTONE,Raniganj,Sandstone (SST)
152.9,3,9.86,2.59,106.248,69.4995,96.1005,-125.8,SANDSTONE,Raniganj,Sandstone (SST)
153.5,3,9.86,2.62498,156.987,63.8995,89.1987,-124.55,SHALE,Raniganj,dgs
153.67,3,9.86,2.64498,144.795,65.3,93.7995,-124.4,COAL,Raniganj,coal
153.87,3,9.87,2.64,150.465,63.0511,93.8498,-124.5,SANDY SHALE,Raniganj,ss
154.52,3,9.87,2.65,234.123,65.3995,80.3498,-125.35,SANDSTONE,Raniganj,Sandstone (SST)
155,3,9.87,1.64521,183.802,51.7459,122.503,-126.65,SANDY SHALE,Raniganj,ss
155.92,3,9.87,2.79004,120.794,109.703,142.209,-125.25,SANDSTONE,Raniganj,Sandstone (SST)
156.52,3,9.87,2.6,202.769,86.0502,101.199,-125.3, SHALE,Raniganj,dgs
156.99,3,9.88,2.71,153.965,84.3,112.352,-126.15,SANDSTONE,Raniganj,Sandstone (SST)
157.19,3,9.88498,2.69,171.411,80.6524,104.704,-126.25,SHALE,Raniganj,Grey Shale
158,3,9.91,2.39004,220.612,67.2982,100.296,-126.3,SANDSTONE,Raniganj,Sandstone (SST)
159.23,3,9.95,2.58,182.9,104.951,125.495,-126.35,SANDSTONE,Raniganj,Sandstone (SST)
160.13,3,9.97,2.57502,229.531,82.5516,102.9,-126.15,SANDY SHALE,Raniganj,ss
160.63,3,9.97498,2.61,191.858,76.5014,102.749,-125.75,SANDSTONE,Raniganj,Sandstone (SST)
161,3,9.98,2.57996,233.871,71.8502,94.1525,-125,SANDY SHALE,Raniganj,ss
162.14,3,9.95,2.75498,138.077,103.55,139.747,-126.1,SANDY SHALE,Raniganj,ss
162.38,3,9.96,2.8,161.136,82.7562,130.811,-126,SANDSTONE,Raniganj,Sandstone (SST)
162.61,3,9.99,2.54502,231.491,66.4516,86.2539,-124.95,SHALE,Raniganj,Grey Shale
163.06,3,10.01,2.61008,256.79,54.5508,82.0498,-125.05,SANDY SHALE,Raniganj,ss
164,3,10.01,2.64004,163.756,70.9027,109.195,-125.8,SHALE,Raniganj,Grey Shale
164.25,3,10.02,2.40521,170.688,65.3986,103.158,-126.55,SANDY SHALE,Raniganj,ss
167,3,10,2.62502,225.15,54.3507,85.3474,-125.15,SANDSTONE,Raniganj,Sandstone (SST)
168.64,3,9.95,2.82502,94.5123,100.801,156.955,-125.7,SANDSTONE,Raniganj,Sandstone (SST)
168.94,3,9.94,2.60502,145.715,87.352,101.352,-126.65,CARB SHALE,Raniganj,Carb Shale
170,3,9.86,2.55498,71.8145,73.7987,92.9986,-125.001,SANDY SHALE,Raniganj,ss
170.73,3,9.94,2.21,211.624,60.6484,113.051,-125.45,SANDSTONE,Raniganj,Sandstone (SST)
