DEPT[M],WELL,CALIPER[MM],DEN[GM/CC],RES(64N),RES[OHM],SP[MV],GAM[API],LITHOLOGY DESCRIPTION,Formation,Classified
84.847,2,14.3376,2.34974,18.9401,63.7119,22.2575,205.145,Coal ,Raniganj,coal
85.787,2,14.335,2.3208,31.7139,71.2533,19.8496,162.967,Sandy shale ,Raniganj,ss
86.687,2,14.3257,2.3344,35.1456,70.1527,19.9711,194.773,"Shaly sandstone , with shale lamination",Raniganj,Sandstone (SST)
87.737,2,14.2652,1.60617,19.3575,106.347,23.6537,116.641,Sandy Shale ,Raniganj,ss
87.787,2,14.2665,1.59011,17.9867,112.221,23.6537,115.949,Dark Grey Shale,Raniganj,dgs
87.937,2,14.3049,1.6485,15.8338,105.68,21.6909,140.15,Shaly Coal,Raniganj,coal
88.147,2,14.4613,1.88347,10.6184,79.4368,21.4077,190.624,Coal,Raniganj,coal
88.247,2,14.4745,1.9694,10.7073,66.1088,21.4077,209.985,Grey Shale,Raniganj,Grey Shale
88.367,2,14.467,2.00561,14.0908,60.6353,21.9135,206.527,Coal,Raniganj,coal
88.587,2,14.5125,1.81032,20.41,77.9862,23.1073,152.595,Shaly Sandstone,Raniganj,Sandstone (SST)
88.787,2,14.5355,1.5951,19.0372,103.517,25.414,108.344,Sandy Shale,Raniganj,ss
88.927,2,14.6066,1.48324,14.1881,127.928,25.414,71.0062,Carbonaceous Shale with Shaly coal band,Raniganj,Carb shale
89.977,2,15.3853,2.08294,12.4922,60.4128,20.8209,252.853,Shaly coal ,Raniganj,coal
90.057,2,15.475,2.12304,13.3151,53.2183,20.8209,257.002,Grey Shale,Raniganj,Grey Shale
90.197,2,15.6031,2.11264,15.0543,50.6562,25.2117,234.185,Coal,Raniganj,coal
90.627,2,16.1023,2.12905,18.4421,58.7914,18.5344,194.773,Grey Shale,Raniganj,Grey Shale
90.747,2,16.2652,2.23542,19.3562,49.8474,18.5344,236.259,Coal,Raniganj,coal
90.867,2,16.3977,2.29922,19.7694,49.0891,18.4333,254.928,Fine grained Sandstone  with Shale,Raniganj,Sandstone (SST)
91.097,2,16.6802,2.34423,19.8598,50.5977,19.0992,228.653,Dark Grey Shale,Raniganj,dgs
91.877,2,17.6382,2.36236,25.3066,66.8394,19.9913,180.944,Sandy Shale,Raniganj,ss
92.647,2,18.4257,2.32261,26.2676,64.2922,19.9306,118.715,"Fine grained Sandstone with shale lamination ,whitish",Raniganj,Sandstone (SST)
97.147,2,15.8451,2.38553,22.5151,63.7119,16.6729,88.9835,"Fine grained Sandstone with shale lamination ,whitish, ",Raniganj,Sandstone (SST)
98.147,2,15.0982,2.46911,22.6514,71.5443,16.3289,96.5893,"Fine grained Sandstone with shale lamination ,whitish, ",Raniganj,Sandstone (SST)
102.347,2,16.2079,2.26653,20.4103,60.2293,17.543,120.098,"Fine grained Sandstone with shale lamination ,whitish, ",Raniganj,Sandstone (SST)
102.397,2,16.2491,2.26669,20.4557,60.404,17.7048,123.555,"Fine grained Sandstone with shale lamination ,whitish, ",Raniganj,Sandstone (SST)
103.507,2,17.6154,2.33241,16.0169,57.155,17.2192,185.093,Alterenate Shale and Sandstone,Raniganj,alt
103.917,2,17.9824,2.31122,15.9253,53.1455,17.3001,188.55,"Fine grained Sandstone ,whitish",Raniganj,Sandstone (SST)
104.577,2,18.3161,2.31771,15.8796,52.0488,16.8955,208.602,Sandy Shale,Raniganj,ss
105.377,2,18.3533,2.29857,15.7421,55.7603,17.199,178.179,Shaly Sandstone,Raniganj,Sandstone (SST)
106.847,2,17.7375,2.36271,16.0626,57.7933,16.41,190.624,Sandy Shale,Raniganj,ss
109.777,2,15.1013,2.29167,21.5994,56.1712,15.56,183.019,Sandy Shale,Raniganj,ss
111.347,2,13.4887,2.4643,25.9929,78.7408,12.9903,108.344,"Fine grained Sandstone with shale lamination, whitish",Raniganj,Sandstone (SST)
114.057,2,15.2727,2.26152,23.888,56.1101,16.167,132.544,"Fine grained Sandstone with shale lamination,whitish, ",Raniganj,Sandstone (SST)
114.097,2,15.3051,2.25067,23.5677,56.3421,16.167,147.755,Grey Shale,Raniganj,Grey Shale
115.017,2,15.7105,2.32748,19.037,57.3291,15.216,197.539,Shaly sandstone with shale band,Raniganj,alt
