Depth (m),LITHOLOGY DESCRIPTION,Formation,CLASSIFIED LITHOLOGY
252.597,Fine to medium grained sandstone with lower part clayey,Raniganj,Sandstone (SST)
255.197,"Fine grained sandstone with shale laminae at top, whitish",Raniganj,Sandstone (SST)
255.597,Carbonaceous Shale ,Raniganj,carb shale
256.197,"Fine grained sandstone, whitish",Raniganj,Sandstone (SST)
256.477,"Fine grained sandstone, , sludge",Raniganj,Sandstone (SST)
256.847,"Fine grained sandstone, ",Raniganj,Sandstone (SST)
257.097,Sandy sludge,Raniganj,Sandstone (SST)
257.657,Fine grained sandstone,Raniganj,Sandstone (SST)
257.747,Sandy sludge,Raniganj,Sandstone (SST)
258.197,Fine grained sandstone,Raniganj,Sandstone (SST)
261.197,Fine grained sandstone,Raniganj,Sandstone (SST)
263.297,Fine grained sandstone,Raniganj,Sandstone (SST)
266.097,Fine grained sandstone with shale laminae,Raniganj,Sandstone (SST)
266.597,"Fine grained sandstone, rounded, clayey at bottom",Raniganj,Sandstone (SST)
267.597,"Fine grained sandstone, rounded",Raniganj,Sandstone (SST)
270.997,"Fine grained sandstone with shale streaks, micaceous",Raniganj,Sandstone (SST)
272.697,Fine grained sandstone,Raniganj,Sandstone (SST)
275.997,Fine grained sandstone,Raniganj,Sandstone (SST)
278.997,"Medium grained sandstone,feldspathic,fine grained sandstone at the bottom",Raniganj,Sandstone (SST)
279.687,Medium grained sandstone,Raniganj,Sandstone (SST)
281.997,Fine grained sandstone with coal streaks,Raniganj,Sandstone (SST)
284.997,Fine grained sandstone with shale laminae,Raniganj,Sandstone (SST)
285.727,Fine grained sandstone with clay,Raniganj,Sandstone (SST)
286.637,Fine grained sandstone,Raniganj,Sandstone (SST)
287.397,Sandy shale,Raniganj,ss
287.997,Sandy Shale (Sample collected by CIMFR),Raniganj,ss
288.587,Sandy shale,Raniganj,ss
289.967,Alterenate Shale and Sandstone,Raniganj,alt
291.397,Sandy shale,Raniganj,ss
292.097,Sandy shale,Raniganj,ss
292.367,Sandy shale,Raniganj,ss
292.827,Alterenate Shale and Sandstone,Raniganj,alt
293.327,Alterenate Shale and Sandstone (Sample collected by CIMFR),Raniganj,alt
293.927,Alterenate Shale and Sandstone,Raniganj,alt
294.397,Sandy shale,Raniganj,ss
295.847,Sandy shale,Raniganj,ss
296.997,Grey shale,Raniganj,gs 
297.147,Grey shale,Raniganj,gs 
298.397,Coal,Raniganj,coal
299.187,Coal,Raniganj,coal
299.747,Coal (Sample collected by CIMFR),Raniganj,coal
300.997,Coal,Raniganj,coal
302.397,Coal ,Raniganj,coal
303.807,Coal ,Raniganj,coal
303.997,Shaly coal,Raniganj,coal
304.197,Carb. Shale,Raniganj,carb shale
305.997,Sandy shale with occasional streaks of coal,Raniganj,ss
306.997,Medium grained Sandstone,Raniganj,Sandstone (SST)
309.097,Sandy Shale,Raniganj,ss
309.997,Intercalation sand>shale,Raniganj,Sandstone (SST)
312.997,Fine grained sandstone,Raniganj,Sandstone (SST)
315.997,Fine grained sandstone with shale laminae,Raniganj,Sandstone (SST)
316.647,Fine grained sandstone ,Raniganj,Sandstone (SST)
319.247,Medium grained Sandstone,Raniganj,Sandstone (SST)
319.947,Fine grained sandstone with shale laminae,Raniganj,Sandstone (SST)
320.197,Shale (Sandy),Raniganj,ss
320.597,Shale (Sandy),Raniganj,ss
322.197,Intercalation sand<shale,Raniganj,ss
323.897,Intercalation sand>shale,Raniganj,Sandstone (SST)
324.697,Sandy shale,Raniganj,ss
327.297,Intercalation sand<shale,Raniganj,ss
328.097,Sandy shale,Raniganj,ss
